step,run,clock_begin,time,x,y,collision,wheelpos,throttlepos,velocity,chosenvel
202,1,3.15784716824542,2017-10-27 15:16:48.976000,8.22336017466666,304.806,0,14.223,1000.0,1.509,1.509
203,1,3.17088075842436,2017-10-27 15:16:48.989000,8.25633685466666,306.315,0,16.39,1000.0,1.509,1.509
204,1,3.21395733716668,2017-10-27 15:16:49.032000,8.30104148266666,307.824,0,22.219,1000.0,1.509,1.509
205,1,3.21401585154512,2017-10-27 15:16:49.032000,8.34574611066666,309.333,0,22.219,1000.0,1.509,1.509
206,1,3.22703066836098,2017-10-27 15:16:49.045000,8.39192553466666,310.842,0,22.952,1000.0,1.509,1.509
207,1,3.24006474615975,2017-10-27 15:16:49.058000,8.43748928666666,312.351,0,22.646,1000.0,1.509,1.509
208,1,3.28317740876877,2017-10-27 15:16:49.101000,8.45615863466666,313.86,0,9.279,1000.0,1.509,1.509
209,1,3.28327103177428,2017-10-27 15:16:49.101000,8.47484035466666,315.37,0,9.279,1000.0,1.51,1.509
210,1,3.29621465609637,2017-10-27 15:16:49.114000,8.47760667466666,316.88,0,1.374,1000.0,1.51,1.51
211,1,3.30924849008523,2017-10-27 15:16:49.127000,8.45954304799999,318.39,0,-8.972,1000.0,1.51,1.51
212,1,3.35225655824277,2017-10-27 15:16:49.169000,8.37745743466666,319.9,0,-40.771,1000.0,1.51,1.51
213,1,3.35230922118338,2017-10-27 15:16:49.169000,8.29235987466666,321.41,0,-42.267,1000.0,1.51,1.51
214,1,3.36481008670856,2017-10-27 15:16:49.182000,8.18999798133333,322.92,0,-50.842,1000.0,1.51,1.51
215,1,3.37743066289964,2017-10-27 15:16:49.195000,8.07251998133333,324.43,0,-58.35,1000.0,1.51,1.51
216,1,3.42150808132328,2017-10-27 15:16:49.240000,7.91989723466666,325.94,0,-75.806,1000.0,1.51,1.51
217,1,3.42160682433691,2017-10-27 15:16:49.240000,7.76717341333333,327.451,0,-75.806,1000.0,1.511,1.51
218,1,3.43458311918696,2017-10-27 15:16:49.253000,7.61076073733333,328.962,0,-77.637,1000.0,1.511,1.511
219,1,3.44762182937402,2017-10-27 15:16:49.266000,7.45342735866666,330.473,0,-78.094,1000.0,1.511,1.511
220,1,3.49075424058577,2017-10-27 15:16:49.309000,7.26688937199999,331.984,0,-92.59,1000.0,1.511,1.511
221,1,3.49081592449305,2017-10-27 15:16:49.309000,7.08035138533333,333.495,0,-92.59,1000.0,1.511,1.511
222,1,3.50376759454217,2017-10-27 15:16:49.322000,6.888341564,335.006,0,-95.306,1000.0,1.511,1.511
223,1,3.51680240377067,2017-10-27 15:16:49.335000,6.69104324266666,336.517,0,-97.931,1000.0,1.511,1.511
224,1,3.55990653303283,2017-10-27 15:16:49.378000,6.47997266,338.028,0,-104.767,1000.0,1.511,1.511
225,1,3.56000039984825,2017-10-27 15:16:49.378000,6.268762388,339.54,0,-104.767,1000.0,1.512,1.511
226,1,3.57295109465773,2017-10-27 15:16:49.391000,6.053122964,341.052,0,-106.964,1000.0,1.512,1.512
227,1,3.58598468483668,2017-10-27 15:16:49.404000,5.833852724,342.564,0,-108.765,1000.0,1.512,1.512
228,1,3.62900738158884,2017-10-27 15:16:49.446000,5.603202164,344.076,0,-114.41,1000.0,1.512,1.512
229,1,3.62905955690962,2017-10-27 15:16:49.446000,5.372551604,345.588,0,-114.41,1000.0,1.512,1.512
230,1,3.64156017862489,2017-10-27 15:16:49.459000,5.138947604,347.1,0,-115.875,1000.0,1.512,1.512
231,1,3.65416710146101,2017-10-27 15:16:49.472000,4.902144212,348.612,0,-117.462,1000.0,1.512,1.512
232,1,3.69819843981162,2017-10-27 15:16:49.516000,4.648422548,350.124,0,-125.854,1000.0,1.512,1.512
233,1,3.6982864551892,2017-10-27 15:16:49.516000,4.39336302533333,351.637,0,-126.434,1000.0,1.513,1.512
234,1,3.71131931393842,2017-10-27 15:16:49.529000,4.13054483866666,353.15,0,-130.28,1000.0,1.513,1.513
235,1,3.72435290411736,2017-10-27 15:16:49.542000,3.857631916,354.663,0,-135.284,1000.0,1.513,1.513
236,1,3.76763013841576,2017-10-27 15:16:49.585000,3.555413192,356.176,0,-149.811,1000.0,1.513,1.513
